	word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	doc_id	pol	ne
0	1	СМИ	5	NOUN	dobj	сми	1	1	0	ORG
1	2	Ирана:	5	PROPN	nsubj	иран	1	1	0	0
2	3	Финляндия	2	PROPN	name	финляндия	1	1	0	GEO
3	4	не	5	PART	neg	не	1	1	0	0
4	5	хочет	0	VERB	ROOT	хотеть	1	1	0	0
5	6	вступать	5	VERB	xcomp	вступать	1	1	0	0
6	7	в	8	ADP	case	в	1	1	0	0
7	8	НАТО	6	PROPN	nmod	нато	1	1	0	ORG
8	9	из	10	ADP	case	из	1	1	0	0
9	10	страха	6	NOUN	nmod	страх	1	1	-1	0
10	11	перед	12	ADP	case	перед	1	1	0	0
11	12	Россией?	10	PROPN	nmod	россия	1	1	0	0
12	1	inosmi.ru	0	PUNCT	ROOT	inosmi	2	1	0	0
13	1	5-го,	2	NUM	nummod	5	3	1	0	0
14	2	2016	0	ADJ	ROOT	2016	3	1	0	0
15	1	Зачем	3	SCONJ	mark	зачем	4	1	0	0
16	2	американцам	3	NOUN	iobj	американец	4	1	0	0
17	3	понадобилось	15	VERB	advcl	понадобиться	4	1	0	0
18	4	перебросить	3	VERB	xcomp	перебрасывать	4	1	0	0
19	5	250	6	NUM	nummod	250	4	1	0	0
20	6	своих	7	PRON	det	свой	4	1	0	0
21	7	военных	4	ADJ	dobj	военный	4	1	0	0
22	8	на	9	ADP	case	на	4	1	0	0
23	9	северо-восток	4	NOUN	nmod	северо-восток	4	1	0	0
24	10	Сирии,	9	PROPN	nmod	сирия	4	1	0	0
25	11	к	12	ADP	case	к	4	1	0	0
26	12	окрестностям	4	NOUN	nmod	окрестность	4	1	0	0
27	13	города	12	NOUN	nmod	город	4	1	0	0
28	14	Румийлан,	13	PROPN	appos	румийлан	4	1	0	0
29	15	разбирался	0	VERB	ROOT	разбираться	4	1	0	0
30	16	обозреватель	15	NOUN	nsubj	обозреватель	4	1	0	0
31	17	Khorasan	16	ADJ	amod	Khorasan	4	1	0	ORG
32	18	(	15	PUNCT	punct	"(
"	4	1	0	0
33	1	30.04)	2	NUM	nummod	30.04	5	1	0	0
34	2	Алиреза	0	PROPN	ROOT	алиреза	5	1	0	0
35	3	Резахах	2	PROPN	name	резах	5	1	0	PER
36	4	(Alireza	2	PROPN	name	Alireza	5	1	0	0
37	5	Rezakhah).	4	PROPN	name	Rezakhah	5	1	0	0
38	1	Согласно	2	ADP	case	согласно	6	1	0	0
39	2	заявлениям	7	NOUN	nmod	заявление	6	1	0	0
40	3	из	4	ADP	case	из	6	1	0	0
41	4	Пентагона,	2	PROPN	nmod	пентагон	6	1	0	0
42	5	цель	7	NOUN	nsubj	цель	6	1	0	0
43	6	США	5	PROPN	nmod	сша	6	1	0	GEO
44	7	—	0	PUNCT	ROOT	"—
"	6	1	0	0
45	8	способствовать	7	VERB	xcomp	способствовать	6	1	0	0
46	9	освобождению	8	NOUN	iobj	освобождение	6	1	0	0
47	10	от	11	ADP	case	от	6	1	0	0
48	11	боевиков	9	NOUN	nmod	боевик	6	1	0	0
49	12	ИГИЛ	11	PROPN	appos	игил	6	1	0	ORG
50	13	стратегически	14	ADV	advmod	стратегически	6	1	0	0
51	14	важного	15	ADJ	amod	важный	6	1	1	0
52	15	города	11	NOUN	nmod	город	6	1	0	0
53	16	Ракка.	15	PROPN	appos	ракка	6	1	0	0
54	1	Однако	7	CONJ	cc:preconj	однако	7	1	0	0
55	2	в	3	ADP	case	в	7	1	0	0
56	3	Дамаске	7	PROPN	nmod	дамаск	7	1	0	LOC
57	4	действия	3	NOUN	nmod	действие	7	1	0	0
58	5	Вашингтона	4	PROPN	nmod	вашингтон	7	1	0	ORG
59	6	резко	7	ADV	advmod	резко	7	1	0	0
60	7	осудили	0	VERB	ROOT	осуждать	7	1	-1	0
61	8	и	7	CONJ	cc	и	7	1	0	0
62	9	назвали	7	VERB	conj	называть	7	1	0	0
63	10	покушением	9	NOUN	advmod	покушение	7	1	-1	0
64	11	на	13	ADP	case	на	7	1	0	0
65	12	территориальный	13	ADJ	amod	территориальный	7	1	0	0
66	13	суверенитет	9	NOUN	nmod	суверенитет	7	1	0	0
67	14	Сирии.	13	PROPN	appos	сирия	7	1	0	0
68	1	Примерно	5	ADV	advmod	примерно	8	1	0	0
69	2	в	4	ADP	case	в	8	1	0	0
70	3	аналогичном	4	ADJ	amod	аналогичный	8	1	0	0
71	4	ключе	5	NOUN	nmod	ключ	8	1	0	0
72	5	высказалась	0	VERB	ROOT	высказываться	8	1	0	0
73	6	и	5	CONJ	cc	и	8	1	0	0
74	7	Москва,	5	PROPN	conj	москва	8	1	0	0
75	8	где	15	SCONJ	mark	где	8	1	0	0
76	9	«несогласованные	12	VERB	acl	несогласованный	8	1	0	0
77	10	с	12	ADP	case	с	8	1	0	0
78	11	Дамаском»	12	ADJ	amod	дамаск	8	1	0	0
79	12	шаги	15	NOUN	nsubj	шаг	8	1	0	0
80	13	Белого	14	ADJ	amod	белый	8	1	0	0
81	14	дома	12	NOUN	nmod	дома	8	1	0	0
82	15	назвали	7	VERB	acl:relcl	называть	8	1	0	0
83	16	фактором,	18	NUM	nummod	фактор	8	1	0	0
84	17	вызывающим	18	VERB	acl	вызывать	8	1	0	0
85	18	озабоченность.	15	PUNCT	dobj	озабоченность	8	1	-1	0
86	1	Почему	10	ADV	advmod	почему	9	1	0	0
87	2	же	1	X	discourse	же	9	1	0	0
88	3	и	5	CONJ	cc:preconj	и	9	1	0	0
89	4	в	5	ADP	case	в	9	1	0	0
90	5	Москве	10	PROPN	nmod	москва	9	1	0	GEO
91	6	и	5	CONJ	cc	и	9	1	0	0
92	7	Дамаске,	5	PROPN	conj	дамаск	9	1	0	0
93	8	которые	10	DET	nsubj	который	9	1	0	0
94	9	также	10	CONJ	cc:preconj	также	9	1	0	0
95	10	ведут	0	VERB	ROOT	вести	9	1	0	0
96	11	борьбу	10	NOUN	dobj	борьба	9	1	0	0
97	12	против	13	ADP	case	против	9	1	0	0
98	13	ИГ	11	PROPN	nmod	иго	9	1	0	ORG
99	14	в	15	ADP	case	в	9	1	0	0
100	15	Сирии,	18	PROPN	nmod	сирия	9	1	0	0
101	16	действия	15	NOUN	nmod	действие	9	1	0	0
102	17	Вашингтона	16	PROPN	nmod	вашингтон	9	1	0	ORG
103	18	вызвали	10	VERB	parataxis	вызывать	9	1	0	0
104	19	столь	20	ADV	advmod	столь	9	1	0	0
105	20	резкую	21	ADJ	amod	резкий	9	1	0	0
106	21	критику	18	NOUN	dobj	критика	9	1	0	0
107	22	и	18	CONJ	cc	и	9	1	0	0
108	23	каковы,	29	ADJ	nsubj	каков	9	1	0	0
109	24	на	26	ADP	case	на	9	1	0	0
110	25	самом	26	ADJ	amod	самый	9	1	0	0
111	26	деле,	23	NOUN	nmod	дело	9	1	0	0
112	27	цели	26	NOUN	nmod	цель	9	1	0	0
113	28	США?—	27	PROPN	appos	сша	9	1	0	0
114	29	задает	18	VERB	conj	задавать	9	1	0	0
115	30	вопрос	29	NOUN	dobj	вопрос	9	1	0	0
116	31	Резахах.	30	PROPN	appos	резах	9	1	0	0
117	1	Следует	3	VERB	csubj	следовать	10	1	0	0
118	2	напомнить,	3	PRON	nsubj	напоминать	10	1	0	0
119	3	указывает	0	VERB	ROOT	указывать	10	1	0	0
120	4	он,	8	PRON	nsubj	он	10	1	0	0
121	5	что	7	SCONJ	mark	что	10	1	0	0
122	6	Сирия	7	PROPN	nsubj	сирия	10	1	0	LOC
123	7	оказалась	8	VERB	cop	оказываться	10	1	0	0
124	8	одним	3	NUM	punct	один	10	1	0	0
125	9	из	12	ADP	case	из	10	1	0	0
126	10	самых	11	ADJ	amod	самый	10	1	0	0
127	11	проблемных	12	ADJ	amod	проблемный	10	1	-1	0
128	12	направлений	8	NOUN	nmod	направление	10	1	0	0
129	13	во	15	ADP	case	во	10	1	0	0
130	14	внешней	15	ADJ	amod	внешний	10	1	0	0
131	15	политике	8	NOUN	nmod	политика	10	1	0	0
132	16	администрации	15	NOUN	nmod	администрация	10	1	0	0
133	17	Обамы,	16	PROPN	appos	обама	10	1	0	0
134	18	которого	21	DET	nmod	который	10	1	0	0
135	19	республиканская	20	ADJ	amod	республиканский	10	1	0	0
136	20	оппозиция	21	NOUN	nsubj	оппозиция	10	1	-1	0
137	21	упрекает	17	VERB	acl:relcl	упрекать	10	1	-1	0
138	22	в	25	ADP	case	в	10	1	0	0
139	23	бездействии,	25	PRON	det	бездействие	10	1	-1	0
140	24	чреватом	25	ADJ	amod	чреватый	10	1	-1	0
141	25	усугублением	21	NOUN	nmod	усугубление	10	1	-1	0
142	26	ситуации	25	NOUN	nmod	ситуация	10	1	0	0
143	27	с	28	ADP	case	с	10	1	0	0
144	28	ИГ.	26	PROPN	nmod	иго	10	1	0	0
145	1	Обама	3	NOUN	nsubj	обама	11	1	0	PER
146	2	крайне	3	ADV	advmod	крайне	11	1	0	0
147	3	нуждается	0	VERB	ROOT	нуждаться	11	1	0	0
148	4	в	6	ADP	case	в	11	1	0	0
149	5	любых	6	ADJ	amod	любой	11	1	0	0
150	6	шагах,	3	SYM	nmod	шаг	11	1	0	0
151	7	которые	8	DET	nsubj	который	11	1	0	0
152	8	помогут	3	VERB	acl:relcl	помогать	11	1	1	0
153	9	укрепить	8	VERB	xcomp	укреплять	11	1	0	0
154	10	его	9	PRON	dobj	он	11	1	0	0
155	11	авторитет	9	NOUN	dobj	авторитет	11	1	1	0
156	12	на	14	ADP	case	на	11	1	0	0
157	13	Ближнем	14	ADJ	amod	ближний	11	1	0	0
158	14	Востоке.	11	PUNCT	nmod	восток	11	1	0	0
159	1	C	3	ADP	case	C	12	1	0	0
160	2	другой	3	ADJ	amod	другой	12	1	0	0
161	3	стороны,	11	NOUN	nmod	сторона	12	1	0	0
162	4	сирийская	5	ADJ	amod	сирийский	12	1	0	0
163	5	армия	11	NOUN	nsubj	армия	12	1	0	0
164	6	при	7	ADP	case	при	12	1	0	0
165	7	поддержке	5	NOUN	nmod	поддержка	12	1	1	0
166	8	российских	9	ADJ	amod	российский	12	1	0	0
167	9	ВКС	7	PROPN	nmod	ВКС	12	1	0	ORG
168	10	недавно	11	ADV	advmod	недавно	12	1	0	0
169	11	освободила	0	VERB	ROOT	освобождать	12	1	0	0
170	12	древний	13	ADJ	amod	древний	12	1	0	0
171	13	город	11	NOUN	dobj	город	12	1	0	0
172	14	Пальмиру,	13	PROPN	appos	пальмира	12	1	0	0
173	15	откуда	16	SCONJ	mark	откуда	12	1	0	0
174	16	остается	11	VERB	advcl	оставаться	12	1	0	0
175	17	буквально	16	ADV	advmod	буквально	12	1	0	0
176	18	шаг	16	NOUN	nsubj	шаг	12	1	0	0
177	19	до	21	ADP	case	до	12	1	0	0
178	20	северо-восточных	21	ADJ	amod	северо-восточный	12	1	0	0
179	21	провинций	18	NOUN	nmod	провинция	12	1	0	0
180	22	Ракка	21	PROPN	nmod	ракка	12	1	0	LOC
181	23	и	18	CONJ	cc	и	12	1	0	0
182	24	Дираззур,	18	PROPN	conj	дираззур	12	1	0	0
183	25	остающихся	29	VERB	acl	оставаться	12	1	0	0
184	26	пока	29	ADV	advmod	пока	12	1	0	0
185	27	под	28	ADP	case	под	12	1	0	0
186	28	властью	26	NOUN	nmod	власть	12	1	0	0
187	29	ИГ.	24	PROPN	name	иго	12	1	0	0
188	1	А	2	CONJ	cc	а	13	1	0	0
189	2	контроль	0	NOUN	ROOT	контроль	13	1	0	0
190	3	над	5	ADP	case	над	13	1	0	0
191	4	этими	5	DET	det	этот	13	1	0	0
192	5	провинциями	2	NOUN	nmod	провинция	13	1	0	0
193	6	—	2	PUNCT	parataxis	"—
"	13	1	0	0
194	7	это	8	DET	expl	это	13	1	0	0
195	8	господство	6	NOUN	parataxis	господство	13	1	0	0
196	9	над	14	ADP	case	над	13	1	0	0
197	10	без	14	ADP	case	без	13	1	0	0
198	11	малого	14	ADJ	amod	малый	13	1	0	0
199	12	половиной	14	ADJ	amod	половина	13	1	0	0
200	13	сирийской	14	ADJ	amod	сирийский	13	1	0	0
201	14	территории.	8	NOUN	nmod	территория	13	1	0	0
202	1	И	4	CONJ	cc:preconj	и	14	1	0	0
203	2	правительственная	3	ADJ	amod	правительственный	14	1	0	0
204	3	армия	4	NOUN	nsubj	армия	14	1	0	0
205	4	объявила	0	VERB	ROOT	объявлять	14	1	0	0
206	5	о	6	ADP	case	о	14	1	0	0
207	6	начале	4	NOUN	nmod	начало	14	1	0	0
208	7	боевых	8	ADJ	amod	боевой	14	1	0	0
209	8	операций	6	NOUN	nmod	операция	14	1	0	0
210	9	по	11	ADP	case	по	14	1	0	0
211	10	их	11	PRON	det	они	14	1	0	0
212	11	освобождению	8	NOUN	nmod	освобождение	14	1	0	0
213	12	от	13	ADP	case	от	14	1	0	0
214	13	сил	6	NOUN	nmod	сила	14	1	0	0
215	14	ИГ	13	PROPN	nmod	иго	14	1	0	ORG
216	15	при	16	ADP	case	при	14	1	0	0
