	word_id	word	parent_id	tag	dependency	lemmatized	sentence_id	pol	ne
17440	1	Россия	3	PROPN	nsubj	россия	1	0	LOC
17441	2	не	3	PART	neg	не	1	0	0
17442	3	должна	0	ADJ	ROOT	должный	1	0	0
17443	4	остаться	3	VERB	xcomp	оставаться	1	0	0
17444	5	безнаказанной	4	ADJ	dobj	безнаказанный	1	-1	0
17445	1	inosmi.ruПосмотреть	0	VERB	ROOT	inosmi	2	0	0
17446	2	оригиналиюнь	1	NOUN	nsubj	оригиналиюнь	2	0	0
17447	3	22-го,	2	NUM	nummod	22	2	0	0
17448	4	2016	3	NUM	nummod	2016	2	0	0
17449	1	Нет,	2	ADP	case	нет	3	0	0
17450	2	аннексия	5	NOUN	nmod	аннексия	3	0	0
17451	3	Крыма	2	PROPN	nmod	крым	3	0	0
17452	4	не	5	PART	neg	не	3	0	0
17453	5	может	0	VERB	ROOT	может	3	0	0
17454	6	быть	7	VERB	auxpass	быть	3	0	0
17455	7	оправдана.	5	VERB	xcomp	оправдывать	3	1	0
17456	1	И	3	CONJ	cc	и	4	0	0
17457	2	Штайнмайер	3	PROPN	nsubj	штайнмайер	4	0	0
17458	3	ошибается	0	VERB	ROOT	ошибаться	4	-1	0
17459	4	со	6	ADP	case	со	4	0	0
17460	5	своим	6	PRON	det	свой	4	0	0
17461	6	сближением	3	NOUN	nmod	сближение	4	0	0
17462	7	с	8	ADP	case	с	4	0	0
17463	8	Москвой.	3	PROPN	nmod	москва	4	0	0
17464	1	Посол	3	NOUN	nsubj	посол	5	0	0
17465	2	Украины	1	PROPN	nmod	украина	5	0	LOC
17466	3	отвечает	0	VERB	ROOT	отвечать	5	0	0
17467	4	на	5	ADP	case	на	5	0	0
17468	5	статью	3	NOUN	nmod	статья	5	0	0
17469	6	Тео	5	PROPN	nmod	тео	5	0	0
17470	7	Зоммера	6	PROPN	name	зоммер	5	0	0
17471	8	(Theo	6	PROPN	name	Theo	5	0	0
17472	9	Sommer).	3	PUNCT	punct	Sommer	5	0	0
17473	1	Последняя	2	ADJ	amod	последний	6	0	0
17474	2	инициатива	11	NOUN	nsubj	инициатива	6	1	0
17475	3	министра	11	NOUN	nsubj	министр	6	0	0
17476	4	иностранных	5	ADJ	amod	иностранный	6	0	0
17477	5	дел	3	NOUN	nmod	дело	6	0	0
17478	6	Германии	3	PROPN	appos	германия	6	0	LOC
17479	7	Франка-Вальтера	6	PROPN	name	франк	6	0	0
17480	8	Штайнмайера	6	PROPN	name	штайнмайер	6	0	0
17481	9	относительно	11	ADV	advmod	относительно	6	0	0
17482	10	России	9	PROPN	nmod	россия	6	0	LOC
17483	11	породила	0	VERB	ROOT	порождать	6	0	0
17484	12	вызывающих	13	VERB	acl	вызывающий	6	0	0
17485	13	ужас	11	NOUN	dobj	ужас	6	-1	0
17486	14	темных	15	ADJ	amod	темный	6	0	0
17487	15	духов.	13	NOUN	nmod	дух	6	0	0
17488	1	Особенно	2	ADV	advmod	особенно	7	0	0
17489	2	выделяется	0	VERB	ROOT	выделяться	7	0	0
17490	3	в	5	ADP	case	в	7	0	0
17491	4	этом	5	DET	det	это	7	0	0
17492	5	отношении	2	NOUN	nmod	отношение	7	0	0
17493	6	комментарий	5	NOUN	nmod	комментарий	7	0	0
17494	7	многолетнего	9	ADJ	amod	многолетний	7	0	0
17495	8	главного	9	ADJ	amod	главный	7	0	0
17496	9	редактора	6	NOUN	nmod	редактор	7	0	0
17497	10	и	9	CONJ	cc	и	7	0	0
17498	11	издателя	9	NOUN	conj	издатель	7	0	0
17499	12	еженедельника	11	NOUN	nmod	еженедельник	7	0	0
17500	13	Die	12	X	nmod	Die	7	0	0
17501	14	Zeit	15	ADP	case	Zeit	7	0	0
17502	15	Тео	13	PROPN	nmod	тео	7	0	0
17503	16	Зоммера.	15	PROPN	name	зоммер	7	0	0
17504	1	Зоммер	2	PROPN	nsubj	зоммер	8	0	0
17505	2	предлагает	0	VERB	ROOT	предлагать	8	0	0
17506	3	Министру	2	NOUN	iobj	министр	8	0	0
17507	4	иностранных	5	ADJ	amod	иностранный	8	0	0
17508	5	дел	3	NOUN	nmod	дело	8	0	0
17509	6	Германии	5	PROPN	nmod	германия	8	0	LOC
17510	7	готовых	8	ADJ	amod	готовый	8	1	0
17511	8	рецепт:	6	NOUN	nmod	рецепт	8	0	0
17512	9	Запад	10	NOUN	nsubj	запад	8	0	0
17513	10	«может	2	VERB	parataxis	может	8	0	0
17514	11	признать	10	VERB	xcomp	признавать	8	1	0
17515	12	аннексию	11	NOUN	dobj	аннексия	8	0	0
17516	13	Крыма,	12	PROPN	nmod	крым	8	0	0
17517	14	если	18	SCONJ	mark	если	8	0	0
17518	15	Путин	18	PROPN	nsubj	путин	8	0	PER
17519	16	в	17	ADP	case	в	8	0	0
17520	17	ответ	18	NOUN	nmod	ответ	8	0	0
17521	18	предложит	12	VERB	acl:relcl	предлагать	8	0	0
17522	19	достаточно	20	ADV	advmod	достаточно	8	0	0
17523	20	много».	18	SYM	advmod	много	8	0	0
17524	1	Зоммер	5	PROPN	nsubj	зоммер	9	0	0
17525	2	несколько	1	DET	punct	несколько	9	0	0
17526	3	нерешительно,	1	NOUN	appos	нерешительно	9	0	0
17527	4	но	3	CONJ	cc	но	9	0	0
17528	5	признает,	0	VERB	ROOT	признавать	9	1	0
17529	6	что	9	SCONJ	mark	что	9	0	0
17530	7	Путин	9	PROPN	nsubj	путин	9	0	PER
17531	8	формально	9	ADV	advmod	формально	9	0	0
17532	9	нарушил	5	VERB	ccomp	нарушать	9	-1	0
17533	10	международное	11	ADJ	amod	международный	9	0	0
17534	11	право,	9	NOUN	dobj	право	9	0	0
17535	12	однако	11	CONJ	cc	однако	9	0	0
17536	13	одновременно	14	ADV	advmod	одновременно	9	0	0
17537	14	оправдывает	9	VERB	conj	оправдывать	9	1	0
17538	15	аннексию	14	PUNCT	dobj	аннексия	9	0	0
17539	16	Крыма.	15	PROPN	iobj	крым	9	0	0
17540	1	В	2	ADP	case	в	10	0	0
17541	2	пользу	4	NOUN	nmod	польза	10	1	0
17542	3	Путина	2	PROPN	nmod	путин	10	0	PER
17543	4	говорят	0	VERB	ROOT	говорить	10	0	0
17544	5	две	6	NUM	nummod	два	10	0	0
17545	6	вещи	4	NOUN	nsubj	вещь	10	0	0
17546	7	—	6	PUNCT	punct	"—
"	10	0	0
17547	8	«история	12	NOUN	nsubj	история	10	0	0
17548	9	и	8	CONJ	cc	и	10	0	0
17549	10	стратегическая	11	ADJ	amod	стратегический	10	0	0
17550	11	логика,	8	NOUN	conj	логика	10	1	0
17551	12	пишет	6	VERB	appos	писать	10	0	0
17552	13	Зоммер…	12	PROPN	nmod	зоммер	10	0	0
17553	14	И	12	CONJ	cc	и	10	0	0
17554	15	как	17	ADV	advmod	как	10	0	0
17555	16	только	17	ADV	discourse	только	10	0	0
17556	17	представилась	12	VERB	conj	представляться	10	0	0
17557	18	возможность	17	NOUN	dobj	возможность	10	0	0
17558	19	(…),	18	PUNCT	appos	…	10	0	0
17559	20	Путин	23	PROPN	nsubj	путин	10	0	PER
17560	21	уже	23	ADV	advmod	уже	10	0	0
17561	22	не	23	PART	neg	не	10	0	0
17562	23	колебался,	19	ADJ	parataxis	колебаться	10	0	0
17563	24	и	23	CONJ	cc	и	10	0	0
17564	25	воспользовался	23	VERB	conj	воспользоваться	10	0	0
17565	26	ей	25	PRON	iobj	она	10	0	0
17566	27	—	29	PUNCT	punct	"—
"	10	0	0
17567	28	не	29	PART	neg	не	10	0	0
17568	29	оглядываясь	25	VERB	advcl	оглядываться	10	0	0
17569	30	на	32	ADP	case	на	10	0	0
17570	31	международное	32	ADJ	amod	международный	10	0	0
17571	32	право»	29	NOUN	nmod	право	10	0	0
17572	33	—	32	PUNCT	nmod	"—
"	10	0	0
17573	34	вот	36	ADV	advmod	вот	10	0	0
17574	35	так	36	ADV	advmod	так	10	0	0
17575	36	выглядит	29	VERB	parataxis	выглядеть	10	0	0
17576	37	логика	36	NOUN	dobj	логика	10	1	0
17577	38	Зоммера.	37	PROPN	appos	зоммер	10	0	0
17578	1	Волосы	2	PROPN	nsubj	волос	11	0	0
17579	2	встают	0	VERB	ROOT	вставать	11	0	0
17580	3	дыбом	2	NOUN	iobj	дыбом	11	0	0
17581	4	от	5	ADP	case	от	11	0	0
17582	5	того,	10	DET	nmod	то	11	0	0
17583	6	что	10	SCONJ	mark	что	11	0	0
17584	7	такой	9	ADJ	amod	такой	11	0	0
17585	8	опытный	9	ADJ	amod	опытный	11	1	0
17586	9	журналист	10	NOUN	iobj	журналист	11	0	0
17587	10	использует	2	VERB	ccomp	использовать	11	0	0
17588	11	подобные	13	ADJ	amod	подобный	11	0	0
17589	12	искаженные	13	ADJ	amod	искаженный	11	0	0
17590	13	фразы	10	NOUN	dobj	фраза	11	0	0
17591	14	в	15	ADP	case	в	11	0	0
17592	15	стиле	10	NOUN	nmod	стиль	11	0	0
17593	16	комиксов	15	NOUN	nmod	комикс	11	0	0
17594	17	и	10	CONJ	cc	и	11	0	0
17595	18	впадает	10	VERB	conj	впадать	11	0	0
17596	19	в	21	ADP	case	в	11	0	0
17597	20	историческое	21	ADJ	amod	исторический	11	0	0
17598	21	философствование.	18	NOUN	nmod	философствование	11	0	0
17599	1	Конечно,	2	NOUN	nsubj	конечно	12	0	0
17600	2	можно	0	VERB	ROOT	можно	12	0	0
17601	3	спорить	2	VERB	xcomp	спорить	12	0	0
17602	4	относительно	5	ADV	advmod	относительно	12	0	0
17603	5	подоплеки	3	NOUN	dobj	подоплека	12	0	0
17604	6	исторических	7	ADJ	amod	исторический	12	0	0
17605	7	событий.	5	NOUN	nmod	событие	12	0	0
17606	1	Однако	2	CONJ	cc:preconj	однако	13	0	0
17607	2	серьезно	0	VERB	ROOT	серьезно	13	0	0
17608	3	утверждать	2	VERB	xcomp	утверждать	13	0	0
17609	4	о	5	ADP	case	о	13	0	0
17610	5	том,	3	DET	nmod	том	13	0	0
17611	6	что	5	PRON	nmod	что	13	0	0
17612	7	«украинец»	11	X	nsubj	украинец	13	0	0
17613	8	Хрущев,	9	VERB	acl	хрущев	13	0	0
17614	9	который,	11	DET	dobj	который	13	0	0
17615	10	стати,	11	ADV	advmod	стать	13	0	0
17616	11	родился	6	VERB	acl:relcl	рождаться	13	0	0
17617	12	в	15	ADP	case	в	13	0	0
17618	13	российской	15	ADJ	amod	российский	13	0	0
17619	14	Курской	15	ADJ	amod	курский	13	0	0
17620	15	губернии,	11	NOUN	nmod	губерния	13	0	0
17621	16	«в	18	ADP	case	в	13	0	0
17622	17	пьяном	18	ADJ	amod	пьяный	13	0	0
17623	18	угаре»	19	X	nmod	угар	13	0	0
17624	19	передал	11	VERB	parataxis	передавать	13	0	0
17625	20	Крым	23	ADJ	amod	крым	13	0	0
17626	21	Украинской	23	ADJ	amod	украинский	13	0	0
17627	22	Советской	23	ADJ	amod	советский	13	0	0
17628	23	Республике,	24	NOUN	nsubj	республика	13	0	0
17629	24	свидетельствуют	19	VERB	nsubj	свидетельствовать	13	0	0
17630	25	о	27	ADP	case	о	13	0	0
17631	26	плохом	27	ADJ	amod	плохой	13	-1	0
17632	27	понимании	24	NOUN	nmod	понимание	13	1	0
17633	28	истории.	24	PUNCT	punct	история	13	0	0
17634	1	Поскольку	5	SCONJ	mark	поскольку	14	0	0
17635	2	это	5	DET	nsubj	это	14	0	0
17636	3	было	5	VERB	cop	быть	14	0	0
17637	4	законное	5	ADJ	amod	законный	14	1	0
17638	5	решение	0	NOUN	ROOT	решение	14	0	0
17639	6	Верховного	7	ADJ	amod	верховный	14	0	0
17640	7	Совета	5	NOUN	nmod	совет	14	0	0
17641	8	СССР	7	PROPN	nmod	ссср	14	0	LOC
17642	9	от	11	ADP	case	от	14	0	0
17643	10	19	11	ADJ	amod	19	14	0	0
17644	11	марта	5	PROPN	nmod	март	14	0	0
17645	12	1954	13	ADJ	amod	1954	14	0	0
17646	13	года	11	NOUN	nmod	год	14	0	0
17647	14	о	15	ADP	case	о	14	0	0
17648	15	передаче	5	NOUN	nmod	передача	14	0	0
17649	16	Крыма.	15	PROPN	nmod	крым	14	0	0
17650	1	Приведенные	5	VERB	acl	приводить	15	0	0
17651	2	в	4	ADP	case	в	15	0	0
17652	3	соответствующем	4	VERB	acl	соответствующий	15	0	0
