word_id	word	parent_id	tag	dependency	lemmatize	sentence_id	doc_id
1	СМИ	5	NOUN	dobj	сми	1	1
2	Ирана:	5	PROPN	nsubj	иран	1	1
3	Финляндия	2	PROPN	name	финляндия	1	1
4	не	5	PART	neg	не	1	1
5	хочет	0	VERB	ROOT	хотеть	1	1
6	вступать	5	VERB	xcomp	вступать	1	1
7	в	8	ADP	case	в	1	1
8	НАТО	6	PROPN	nmod	нато	1	1
9	из	10	ADP	case	из	1	1
10	страха	6	NOUN	nmod	страх	1	1
11	перед	12	ADP	case	перед	1	1
12	Россией?	10	PROPN	nmod	россия	1	1
1	inosmi.ru	0	PUNCT	ROOT	inosmi	2	1
1	5-го,	2	NUM	nummod	5	3	1
2	2016	0	ADJ	ROOT	2016	3	1
1	Зачем	3	SCONJ	mark	зачем	4	1
2	американцам	3	NOUN	iobj	американец	4	1
3	понадобилось	15	VERB	advcl	понадобиться	4	1
4	перебросить	3	VERB	xcomp	перебрасывать	4	1
5	250	6	NUM	nummod	250	4	1
6	своих	7	PRON	det	свой	4	1
7	военных	4	ADJ	dobj	военный	4	1
8	на	9	ADP	case	на	4	1
9	северо-восток	4	NOUN	nmod	северо-восток	4	1
10	Сирии,	9	PROPN	nmod	сирия	4	1
11	к	12	ADP	case	к	4	1
12	окрестностям	4	NOUN	nmod	окрестность	4	1
13	города	12	NOUN	nmod	город	4	1
14	Румийлан,	13	PROPN	appos	румийлан	4	1
15	разбирался	0	VERB	ROOT	разбираться	4	1
16	обозреватель	15	NOUN	nsubj	обозреватель	4	1
17	Khorasan	16	ADJ	amod	Khorasan	4	1
18	(	15	PUNCT	punct	"(
"	4	1
1	30.04)	2	NUM	nummod	30.04	5	1
2	Алиреза	0	PROPN	ROOT	алиреза	5	1
3	Резахах	2	PROPN	name	резах	5	1
4	(Alireza	2	PROPN	name	Alireza	5	1
5	Rezakhah).	4	PROPN	name	Rezakhah	5	1
1	Согласно	2	ADP	case	согласно	6	1
2	заявлениям	7	NOUN	nmod	заявление	6	1
3	из	4	ADP	case	из	6	1
4	Пентагона,	2	PROPN	nmod	пентагон	6	1
5	цель	7	NOUN	nsubj	цель	6	1
6	США	5	PROPN	nmod	сша	6	1
7	—	0	PUNCT	ROOT	"—
"	6	1
8	способствовать	7	VERB	xcomp	способствовать	6	1
9	освобождению	8	NOUN	iobj	освобождение	6	1
10	от	11	ADP	case	от	6	1
11	боевиков	9	NOUN	nmod	боевик	6	1
12	ИГИЛ	11	PROPN	appos	игил	6	1
13	стратегически	14	ADV	advmod	стратегически	6	1
14	важного	15	ADJ	amod	важный	6	1
15	города	11	NOUN	nmod	город	6	1
16	Ракка.	15	PROPN	appos	ракка	6	1
1	Однако	7	CONJ	cc:preconj	однако	7	1
2	в	3	ADP	case	в	7	1
3	Дамаске	7	PROPN	nmod	дамаск	7	1
4	действия	3	NOUN	nmod	действие	7	1
5	Вашингтона	4	PROPN	nmod	вашингтон	7	1
6	резко	7	ADV	advmod	резко	7	1
7	осудили	0	VERB	ROOT	осуждать	7	1
8	и	7	CONJ	cc	и	7	1
9	назвали	7	VERB	conj	называть	7	1
10	покушением	9	NOUN	advmod	покушение	7	1
11	на	13	ADP	case	на	7	1
12	территориальный	13	ADJ	amod	территориальный	7	1
13	суверенитет	9	NOUN	nmod	суверенитет	7	1
14	Сирии.	13	PROPN	appos	сирия	7	1
1	Примерно	5	ADV	advmod	примерно	8	1
2	в	4	ADP	case	в	8	1
3	аналогичном	4	ADJ	amod	аналогичный	8	1
4	ключе	5	NOUN	nmod	ключ	8	1
5	высказалась	0	VERB	ROOT	высказываться	8	1
6	и	5	CONJ	cc	и	8	1
7	Москва,	5	PROPN	conj	москва	8	1
8	где	15	SCONJ	mark	где	8	1
9	«несогласованные	12	VERB	acl	несогласованный	8	1
10	с	12	ADP	case	с	8	1
11	Дамаском»	12	ADJ	amod	дамаск	8	1
12	шаги	15	NOUN	nsubj	шаг	8	1
13	Белого	14	ADJ	amod	белый	8	1
14	дома	12	NOUN	nmod	дома	8	1
15	назвали	7	VERB	acl:relcl	называть	8	1
16	фактором,	18	NUM	nummod	фактор	8	1
17	вызывающим	18	VERB	acl	вызывать	8	1
18	озабоченность.	15	PUNCT	dobj	озабоченность	8	1
1	Почему	10	ADV	advmod	почему	9	1
2	же	1	X	discourse	же	9	1
3	и	5	CONJ	cc:preconj	и	9	1
4	в	5	ADP	case	в	9	1
5	Москве	10	PROPN	nmod	москва	9	1
6	и	5	CONJ	cc	и	9	1
7	Дамаске,	5	PROPN	conj	дамаск	9	1
8	которые	10	DET	nsubj	который	9	1
9	также	10	CONJ	cc:preconj	также	9	1
10	ведут	0	VERB	ROOT	вести	9	1
11	борьбу	10	NOUN	dobj	борьба	9	1
12	против	13	ADP	case	против	9	1
13	ИГ	11	PROPN	nmod	иго	9	1
14	в	15	ADP	case	в	9	1
15	Сирии,	18	PROPN	nmod	сирия	9	1
16	действия	15	NOUN	nmod	действие	9	1
17	Вашингтона	16	PROPN	nmod	вашингтон	9	1
18	вызвали	10	VERB	parataxis	вызывать	9	1
19	столь	20	ADV	advmod	столь	9	1
20	резкую	21	ADJ	amod	резкий	9	1
21	критику	18	NOUN	dobj	критика	9	1
22	и	18	CONJ	cc	и	9	1
23	каковы,	29	ADJ	nsubj	каков	9	1
24	на	26	ADP	case	на	9	1
25	самом	26	ADJ	amod	самый	9	1
26	деле,	23	NOUN	nmod	дело	9	1
27	цели	26	NOUN	nmod	цель	9	1
28	США?—	27	PROPN	appos	сша	9	1
29	задает	18	VERB	conj	задавать	9	1
30	вопрос	29	NOUN	dobj	вопрос	9	1
31	Резахах.	30	PROPN	appos	резах	9	1
1	Следует	3	VERB	csubj	следовать	10	1
2	напомнить,	3	PRON	nsubj	напоминать	10	1
3	указывает	0	VERB	ROOT	указывать	10	1
4	он,	8	PRON	nsubj	он	10	1
5	что	7	SCONJ	mark	что	10	1
6	Сирия	7	PROPN	nsubj	сирия	10	1
7	оказалась	8	VERB	cop	оказываться	10	1
8	одним	3	NUM	punct	один	10	1
9	из	12	ADP	case	из	10	1
10	самых	11	ADJ	amod	самый	10	1
11	проблемных	12	ADJ	amod	проблемный	10	1
12	направлений	8	NOUN	nmod	направление	10	1
13	во	15	ADP	case	во	10	1
14	внешней	15	ADJ	amod	внешний	10	1
15	политике	8	NOUN	nmod	политика	10	1
16	администрации	15	NOUN	nmod	администрация	10	1
